 	                                        Playing Time 	                Performance 	                                                Per 90 Minutes	
Rk 	Player 	Pos 	Squad Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
265	Jhojan Julio	FW	ec Ecuador	27	1998	4	1	125	1.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
266	Julio Joao Ortíz	MF	ec Ecuador	29	1996	5	1	151	1.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
267	José Hurtado	DF	ec Ecuador	24	2001	3	1	93	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
268	Piero Hincapié	DF	ec Ecuador	24	2002	14	14	1,203	13.4	0	0	0	0	0	0	2	1	0.00	0.00	0.00	0.00	0.00	Matches
269	Darwin Guagua	FW	ec Ecuador	18	2007	1	1	59	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
270	Carlos Gruezo	MF	ec Ecuador	30	1995	7	4	487	5.4	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
271	Hernán Galíndez	GK	ec Ecuador	38	1987	12	12	1,080	12.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
272	Alan Franco	MF	ec Ecuador	27	1998	13	12	1,057	11.7	0	2	2	0	0	0	3	1	0.00	0.17	0.17	0.00	0.17	Matches
273	Pervis Estupiñán	DF,MF	ec Ecuador	28	1998	13	13	1,118	12.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
274	Alexander Domínguez	GK	ec Ecuador	38	1987	2	2	180	2.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
275	Janner Corozo	MF	ec Ecuador	30	1995	2	1	92	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
276	José Cifuentes	MF	ec Ecuador	26	1999	3	3	210	2.3	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
277	Jhoanner Chávez	MF,DF	ec Ecuador	23	2002	5	2	203	2.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
